date,ticker,actual_price,fitted_price
2016-09-19,AMD,6.16,7.241030814769743
2016-09-20,AMD,6.17,7.250479860561455
2016-09-21,AMD,6.29,7.25994123670619
2016-09-22,AMD,6.37,7.269414959294233
2016-09-23,AMD,6.55,7.278901044436853
2016-09-26,AMD,6.32,7.307433636620183
2016-09-27,AMD,6.54,7.316969333514525
2016-09-28,AMD,6.59,7.326517473835627
2016-09-29,AMD,6.67,7.336078073821289
2016-09-30,AMD,6.91,7.345651149730541
2016-10-03,AMD,6.95,7.374445395908192
2016-10-04,AMD,6.97,7.3840685385265195
2016-10-05,AMD,6.78,7.393704238682246
2016-10-06,AMD,6.96,7.403352512762104
2016-10-07,AMD,6.75,7.413013377174184
2016-10-10,AMD,6.84,7.44207167680611
2016-10-11,AMD,6.5,7.451783067056766
2016-10-12,AMD,6.62,7.461507130001895
2016-10-13,AMD,6.49,7.471243882178488
2016-10-14,AMD,6.75,7.48099334014509
2016-10-17,AMD,6.67,7.5103181146952
2016-10-18,AMD,6.73,7.520118561840259
2016-10-19,AMD,6.77,7.529931797892894
2016-10-20,AMD,6.96,7.539757839541763
2016-10-21,AMD,6.52,7.54959670349727
2016-10-24,AMD,7.01,7.579190396635075
2016-10-25,AMD,7.5,7.589080717357884
2016-10-26,AMD,7.29,7.5989839442670775
2016-10-27,AMD,7.11,7.60890009420435
2016-10-28,AMD,7.2,7.618829184033392
2016-10-31,AMD,7.23,7.648694261837744
2016-11-01,AMD,7.09,7.658675280310901
2016-11-02,AMD,6.76,7.668669323324737
2016-11-03,AMD,6.7,7.678676407875406
2016-11-04,AMD,6.56,7.688696550981228
2016-11-07,AMD,6.96,7.718835502145854
2016-11-08,AMD,7.0,7.728908050099884
2016-11-09,AMD,6.94,7.73899374203428
2016-11-10,AMD,6.3,7.749092595101029
2016-11-11,AMD,6.69,7.759204626474474
2016-11-14,AMD,6.79,7.789619962515278
2016-11-15,AMD,6.97,7.799784879308011
2016-11-16,AMD,7.67,7.809963060616045
2016-11-17,AMD,8.46,7.820154523748728
2016-11-18,AMD,8.71,7.830359286037855
2016-11-21,AMD,8.94,7.861053541502179
2016-11-22,AMD,8.69,7.8713116741886395
2016-11-23,AMD,8.8,7.881583193030728
2016-11-25,AMD,8.77,7.902166459076692
2016-11-28,AMD,8.83,7.933142191754628
2016-11-29,AMD,8.93,7.943494395157623
2016-11-30,AMD,8.91,7.953860107472058
2016-12-01,AMD,8.39,7.964239346326142
2016-12-02,AMD,8.53,7.974632129371064
2016-12-05,AMD,8.68,8.005891920508523
2016-12-06,AMD,9.45,8.016339057289944
2016-12-07,AMD,9.56,8.026799826864274
2016-12-08,AMD,10.34,8.037274247021434
2016-12-09,AMD,10.34,8.047762335574468
2016-12-12,AMD,10.68,8.079308790088328
2016-12-13,AMD,10.54,8.089851730820898
2016-12-14,AMD,10.55,8.100408429363966
2016-12-15,AMD,10.86,8.110978903670512
2016-12-16,AMD,10.66,8.12156317171697
2016-12-19,AMD,10.95,8.15339891841212
2016-12-20,AMD,11.51,8.164038541652078
2016-12-21,AMD,11.47,8.174692048866538
2016-12-22,AMD,11.6,8.185359458173128
2016-12-23,AMD,11.58,8.196040787713093
2016-12-27,AMD,12.07,8.238905671861714
2016-12-28,AMD,11.55,8.249656875517417
2016-12-29,AMD,11.59,8.260422108752397
2016-12-30,AMD,11.34,8.271201389874232
2017-01-03,AMD,11.43,8.31445936021991
